step,control,friction,reduction
0,0.6237705661841799,0.5428473179253117,0.12973239303980577
1,0.6935024043598933,0.5965735063625345,0.13976721261236974
2,0.699070009248568,0.6119184759460529,0.12466781888725925
3,0.7048578470600523,0.6204532788400349,0.11974693702009155
4,0.7101822011792032,0.6333297813485599,0.10821507453022017
5,0.7114187887618693,0.6388289581430034,0.10203530152078055
6,0.7185185245563774,0.6507391173850472,0.09433216382720003
7,0.7181381076155905,0.6591691266300757,0.08211370537250494
8,0.7212488738536091,0.6625873703313814,0.08133323412874292
9,0.7307972849614351,0.6650176969215753,0.09001071760047807
10,0.7360071090891687,0.6711703173071405,0.08809261620076698
11,0.7330156145502342,0.6681317068814029,0.08851640590036133
12,0.7416100971174897,0.6746347580382257,0.09031071629092642
13,0.7456608868650676,0.6751724414391331,0.09453150442459754
