policy,attack,coverage,retail_burn,final_trust,precision
laissez_faire,pump_dump,0.0,0.2951913629617488,0.5392410415142579,0.0
laissez_faire,sybil_farm,0.0,0.31770812138737375,0.5379024182567288,0.0
laissez_faire,laundering,0.0,0.09226225237212654,0.6070658091309791,0.0
laissez_faire,adaptive_redteam,0.0,0.3285525133244838,0.5314230456811333,0.0
laissez_faire,pig_butchering,0.0,0.22226284499869417,0.5671247998887209,0.0
standard,pump_dump,0.5764917442957884,0.3042905925277553,0.5550116490159603,1.0
standard,sybil_farm,0.13034380037103097,0.34017685704828393,0.5649624361328136,1.0
standard,laundering,0.1531123057385205,0.11438830590038905,0.6172585324173935,1.0
standard,adaptive_redteam,0.16051352888563467,0.35948945697567275,0.5627972361040247,1.0
standard,pig_butchering,0.6139074538645815,0.24827818178512998,0.5815284814853245,1.0
over_friction,pump_dump,0.5744421384510401,0.31493792744421373,0.44015139704956585,0.8028995267769372
over_friction,sybil_farm,0.12972896236187645,0.34652263066169575,0.4557336435736576,0.8122945975375232
over_friction,laundering,0.15245820734482665,0.11138921882937602,0.503341594955996,0.8024138566694455
over_friction,adaptive_redteam,0.16081898950947707,0.36155660300035913,0.45913514792583604,0.82077279490053
over_friction,pig_butchering,0.6149622109663845,0.23895037762146318,0.47077914797522163,0.808801080984253
tiered,pump_dump,0.5735264189289206,0.3087987434537173,0.5528524283581503,1.0
tiered,sybil_farm,0.13029129569583653,0.35135792459992204,0.5622344101053561,1.0
tiered,laundering,0.15349701138437752,0.11584051371048158,0.6191633197527668,1.0
tiered,adaptive_redteam,0.1612530939499002,0.35993861472045346,0.5609809433733872,1.0
tiered,pig_butchering,0.6159965913236177,0.23650468140482525,0.5842804114432002,1.0
